t theta theta1 theta2 omega omega1 omega2
1.320000 -10.1538 -25.0477 3.90106 2.68106 -1.11582 -0.754696
1.330000 -8.62952 -25.6768 3.46942 2.62599 -1.07675 -0.748428
1.340000 -7.15911 -26.278 3.04721 2.49551 -1.01918 -0.722388
1.350000 -5.7808 -26.8421 2.64459 2.30785 -0.948258 -0.680863
1.360000 -4.52171 -27.3631 2.26903 2.08237 -0.86915 -0.628689
1.370000 -3.39867 -27.8373 1.92539 1.8353 -0.786018 -0.570073
1.380000 -2.4205 -28.2635 1.61641 1.57819 -0.701697 -0.508119
1.390000 -1.5907 -28.6415 1.34337 1.31834 -0.617855 -0.444862
1.400000 -0.909526 -28.9718 1.10665 1.05983 -0.535314 -0.381494
1.410000 -0.375592 -29.2553 0.906111 0.804569 -0.45434 -0.318626
1.420000 0.0131735 -29.4927 0.741388 0.553108 -0.374863 -0.256493
1.430000 0.258905 -29.685 0.612049 0.305199 -0.296618 -0.1951
1.440000 0.363454 -29.8328 0.517703 0.0601527 -0.219237 -0.13432
1.450000 0.328209 -29.9364 0.458049 -0.182935 -0.14231 -0.0739628
1.460000 0.154016 -29.9959 0.432907 -0.425024 -0.0654139 -0.0138203
1.470000 -0.158813 -30.0112 0.442207 -0.667001 0.011851 0.0462944
1.480000 -0.610422 -29.9822 0.485975 -0.909547 0.0898332 0.106506
1.490000 -1.20125 -29.9081 0.564276 -1.15296 0.168787 0.166827
1.500000 -1.93173 -29.7885 0.677135 -1.39691 0.248806 0.227084
1.510000 -2.80184 -29.6228 0.824399 -1.64004 0.329727 0.286822
1.520000 -3.81038 -29.4106 1.00554 -1.87946 0.410988 0.345162
1.530000 -4.95387 -29.152 1.21938 -2.11004 0.491429 0.400637
1.540000 -6.22509 -28.848 1.46368 -2.32368 0.569081 0.451026
1.550000 -7.6112 -28.501 1.73467 -2.50889 0.641008 0.493282
1.560000 -9.09188 -28.1153 2.02668 -2.65122 0.703377 0.523731
1.570000 -10.6382 -27.6976 2.33186 -2.73549 0.751965 0.538678
1.580000 -12.2131 -27.257 2.64047 -2.74955 0.783159 0.535434
1.590000 -13.7745 -26.8039 2.9418 -2.68845 0.795101 0.513313
1.600000 -15.2802 -26.3494 3.22539 -2.55637 0.788331 0.473998
1.610000 -16.6925 -25.9036 3.48234 -2.365 0.765485 0.42097
1.620000 -17.9818 -25.4746 3.70596 -2.12939 0.730286 0.358369
1.630000 -19.127 -25.0684 3.8919 -1.86398 0.686479 0.289967
1.640000 -20.1143 -24.689 4.03768 -1.58031 0.637155 0.218617
1.650000 -20.9359 -24.3389 4.14221 -1.28633 0.584529 0.146168
1.660000 -21.5873 -24.0195 4.20516 -0.986893 0.530001 0.0736107
1.670000 -22.0663 -23.7318 4.22661 -0.684421 0.474326 0.00130134
1.680000 -22.3712 -23.4762 4.20669 -0.379667 0.417795 -0.0708395
1.690000 -22.5008 -23.2532 4.1454 -0.072246 0.360383 -0.143179
1.700000 -22.4533 -23.0634 4.04247 0.238955 0.301856 -0.216269
1.710000 -22.226 -22.9076 3.8973 0.55548 0.241866 -0.290771
1.720000 -21.8154 -22.7866 3.70887 0.879024 0.180031 -0.36739
1.730000 -21.2171 -22.7017 3.47577 1.21108 0.116036 -0.446787
1.740000 -20.4258 -22.6541 3.19626 1.55239 0.0498 -0.529443
1.750000 -19.4366 -22.645 2.86844 1.90188 -0.0182508 -0.615388
1.760000 -18.2457 -22.6751 2.49061 2.25496 -0.0867263 -0.703751
1.770000 -16.8539 -22.7439 2.062 2.60075 -0.152579 -0.792015
1.780000 -15.2707 -22.8484 1.584 2.91876 -0.210308 -0.875078
1.790000 -13.5206 -22.9817 1.0618 3.17711 -0.25165 -0.944673
1.800000 -11.6488 -23.1318 0.506046 3.33722 -0.266981 -0.990425
1.810000 -9.72124 -23.2813 -0.0668783 3.3683 -0.249145 -1.00357
1.820000 -7.815 -23.4108 -0.6372 3.26431 -0.197627 -0.98159
1.830000 -6.00229 -23.5026 -1.18591 3.04729 -0.119009 -0.929464
1.840000 -4.3377 -23.5439 -1.69828 2.75351 -0.0231148 -0.856318
1.850000 -2.85511 -23.5274 -2.16488 2.41688 0.0812633 -0.771038
1.860000 -1.57178 -23.4503 -2.58074 2.06097 0.188254 -0.680001
1.870000 -0.49454 -23.3118 -2.94373 1.69894 0.294768 -0.58691
1.880000 0.375004 -23.1128 -3.25323 1.33646 0.399667 -0.493463
1.890000 1.03705 -22.8541 -3.50921 0.974507 0.503004 -0.400078
1.900000 1.49147 -22.5366 -3.71163 0.611281 0.605531 -0.306379
1.910000 1.73661 -22.1602 -3.86007 0.24322 0.708434 -0.21149
1.920000 1.76834 -21.7244 -3.95352 -0.134514 0.813221 -0.114175
1.930000 1.57948 -21.2276 -3.99015 -0.527896 0.921695 -0.0128823
1.940000 1.15908 -20.6671 -3.96717 -0.944037 1.03597 0.0942286
1.950000 0.491808 -20.0389 -3.88066 -1.39102 1.15843 0.209226
1.960000 -0.44235 -19.3376 -3.72552 -1.87686 1.29153 0.334111
1.970000 -1.66724 -18.5566 -3.49571 -2.40587 1.4368 0.469824
1.980000 -3.20582 -17.6892 -3.18557 -2.96789 1.59217 0.613442
1.990000 -5.06556 -16.7324 -2.79363 -3.51352 1.74545 0.751834
2.000000 -7.20612 -15.6953 -2.33092 -3.92135 1.86554 0.853603
2.010000 -9.50031 -14.6095 -1.83066 -4.02527 1.90883 0.876864
2.020000 -11.748 -13.5262 -1.344 -3.76631 1.85843 0.808307
